547,639,555,653,916
639,916,653,941,1399
916,1399,941,1438,2062
1399,2062,1438,2118,2863
2062,2863,2118,2927,5494
2863,5494,2927,5578,6070
5494,6070,5578,6165,8124
6070,8124,6165,8235,9783
8124,9783,8235,9925,11871
9783,11871,9925,12038,16607
11871,16607,12038,16787,19693
16607,19693,16787,19881,23680
19693,23680,19881,23892,27409
23680,27409,23892,27636,30553
27409,30553,27636,30818,34075
30553,34075,30818,34392,36778
34075,36778,34392,37121,39790
36778,39790,37121,40151,42306
39790,42306,40151,42763,44327
42306,44327,42763,44803,44699
44327,44699,44803,45222,59832
44699,59832,45222,60370,66292
59832,66292,60370,66887,68347
66292,68347,66887,69032,70446
68347,70446,69032,71226,72364
70446,72364,71226,73260,74139
72364,74139,73260,75138,74546
74139,74546,75138,75641,74999
74546,74999,75641,76199,75472
74999,75472,76199,76843,76922
75472,76922,76843,78599,76938
76922,76938,78599,78985,77152
76938,77152,78985,79570,77660
77152,77660,79570,80415,78065
77660,78065,80415,81397,78498
78065,78498,81397,82756,78824
78498,78824,82756,84124,79251
78824,79251,84124,86013,79826
79251,79826,86013,88371,80026
79826,80026,88371,90309,80151
80026,80151,90309,92844,80271
